Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1153,1,1,0,0,0,2698,2034,122,360,1,0,1
1154,0,0,2,1,0,11757,0,187,180,1,0,1
1155,1,0,0,1,0,2330,4486,100,360,1,0,1
1156,0,0,2,1,0,14866,0,70,360,1,1,1
1157,1,1,1,1,0,1538,1425,30,360,1,1,0
1158,1,1,0,1,0,10000,1666,225,360,1,1,1
1159,1,1,0,1,0,4860,830,125,360,1,1,0
1160,1,1,0,1,0,6277,0,118,360,0,1,1
1161,1,1,0,1,1,2577,3750,152,360,1,1,1
1162,1,1,0,1,0,9166,0,244,360,1,1,1
1163,1,0,2,1,0,2281,0,113,360,1,1,1
1164,1,1,0,0,0,3254,0,50,360,1,1,1
1165,1,1,2,1,0,39999,0,600,180,0,1,1
1166,1,1,1,1,0,6000,0,160,360,1,1,1
1167,1,0,1,1,0,9538,0,187,360,1,1,1
1168,1,1,0,1,1,2980,2083,120,360,1,1,0
1169,1,0,0,0,1,4583,5625,255,360,1,1,1
1170,1,1,0,0,0,1863,1041,98,360,1,0,0
1171,1,1,0,1,0,7933,0,275,360,1,0,0
1172,1,1,1,0,0,3089,1280,121,360,0,0,0
1173,1,1,2,1,0,4167,1447,158,360,1,0,0
1174,1,0,0,0,0,9323,0,75,180,1,0,1
1175,1,0,0,1,0,3707,3166,182,360,1,0,1
1176,0,0,0,1,0,4583,0,112,360,1,0,1
1178,1,1,0,1,0,2439,3333,129,360,1,0,1
1177,1,0,0,1,0,2237,0,63,480,0,0,1
1178,1,1,2,1,0,8000,0,200,360,1,0,0
1181,1,1,0,1,0,1820,1769,95,360,1,0,1
1182,1,1,1,0,0,51763,0,700,300,1,0,0
1183,1,1,1,0,1,3522,0,81,180,1,1,1
1184,1,1,0,0,1,5708,5625,187,360,1,0,0
1185,1,1,0,1,1,4344,736,87,360,1,1,1
1186,1,1,0,0,1,3497,1964,116,360,1,0,1
1187,1,1,2,1,1,2045,1619,101,360,1,1,0
1188,1,1,1,1,1,5516,11300,495,360,0,0,1
1189,1,1,1,1,0,3750,0,116,360,1,1,0
1190,1,1,0,1,0,2333,1451,102,480,0,1,0
1191,1,1,1,0,0,6400,7250,180,360,0,0,0
1192,1,1,0,1,0,1916,5063,67,360,1,1,1
1193,1,1,0,0,0,4600,0,73,180,1,1,0
1194,1,0,1,0,0,33846,0,260,360,1,1,1
1195,0,0,0,1,0,3625,0,108,360,1,1,1
1196,1,0,0,1,0,39147,4750,120,360,1,1,0
1197,1,0,1,1,1,2178,0,66,300,0,0,1
1198,1,0,0,1,1,2383,2138,58,360,0,1,1
1199,1,0,0,1,1,674,5296,168,360,1,0,1
1200,1,0,0,1,1,9328,0,188,180,1,1,1
1201,1,1,0,1,0,4885,0,48,360,1,0,0
1202,1,1,0,1,1,12000,0,164,360,1,1,0
1203,1,1,0,1,0,6033,0,160,360,1,0,1
1204,1,0,0,1,1,3858,0,76,360,1,1,0
1205,1,0,0,1,0,4191,0,120,360,1,0,1
1206,1,0,1,1,1,3125,2583,170,360,1,1,1
1207,1,0,0,1,0,8333,3750,187,360,1,0,1
1208,0,1,0,0,1,1907,2365,120,360,1,1,1
1209,0,1,0,1,0,3416,2816,113,360,0,0,1
